Almont__Precip_mm_day,Almont__Evap_mm_day,Almont__Runoff_mm_day,Billy_Barr__Precip_mm_day,Billy_Barr__Evap_mm_day,Billy_Barr__Runoff_mm_day,Judd_Falls__Precip_mm_day,Judd_Falls__Evap_mm_day,Judd_Falls__Runoff_mm_day,Kettle_Ponds__Precip_mm_day,Kettle_Ponds__Evap_mm_day,Kettle_Ponds__Runoff_mm_day,Mexican_Cut__Precip_mm_day,Mexican_Cut__Evap_mm_day,Mexican_Cut__Runoff_mm_day,Snodgrass_Mountain__Precip_mm_day,Snodgrass_Mountain__Evap_mm_day,Snodgrass_Mountain__Runoff_mm_day,castnet_gothic__Precip_mm_day,castnet_gothic__Evap_mm_day,castnet_gothic__Runoff_mm_day,nrcs_1141__Precip_mm_day,nrcs_1141__Evap_mm_day,nrcs_1141__Runoff_mm_day,nrcs_380__Precip_mm_day,nrcs_380__Evap_mm_day,nrcs_380__Runoff_mm_day,nrcs_680__Precip_mm_day,nrcs_680__Evap_mm_day,nrcs_680__Runoff_mm_day,nrcs_737__Precip_mm_day,nrcs_737__Evap_mm_day,nrcs_737__Runoff_mm_day,wu_KCOCREST10__Precip_mm_day,wu_KCOCREST10__Evap_mm_day,wu_KCOCREST10__Runoff_mm_day,wu_KCOCREST4__Precip_mm_day,wu_KCOCREST4__Evap_mm_day,wu_KCOCREST4__Runoff_mm_day,wu_KCOCREST6__Precip_mm_day,wu_KCOCREST6__Evap_mm_day,wu_KCOCREST6__Runoff_mm_day,wu_KCOMTCRE2__Precip_mm_day,wu_KCOMTCRE2__Evap_mm_day,wu_KCOMTCRE2__Runoff_mm_day,wu_MRMEX__Precip_mm_day,wu_MRMEX__Evap_mm_day,wu_MRMEX__Runoff_mm_day,wu_MTAPC2__Precip_mm_day,wu_MTAPC2__Evap_mm_day,wu_MTAPC2__Runoff_mm_day,date
0.0,0.0,0.133191,0.855641,0.393455,0.615179,0.811939,0.391933,0.622905,0.936742,0.0,0.598128,3.572309,0.830271,0.58192,1.145847,0.290536,0.418631,0.811939,0.391933,0.622905,0.180891,0.060362,0.046502,1.758307,0.14427,0.356669,0.0,0.002714,0.002482,3.526587,0.837581,0.664694,1.291799,0.0,0.413329,1.087186,0.008775,0.075183,1.139776,0.0,0.359391,1.426968,0.113562,0.092805,3.862703,0.383056,0.719568,0.472765,0.0,0.113101,2013-12-25
0.0,0.009692,0.133413,0.0,0.301801,0.610316,0.0,0.29547,0.617407,0.0,0.020317,0.592944,4.7003,1.203411,0.576662,0.0,0.024528,0.417138,0.0,0.29547,0.617407,0.0,0.031042,0.046778,0.0,-8e-06,0.35582,0.467756,0.098,0.002482,4.690123,1.192663,0.658885,0.0,0.0,0.411509,0.0,0.0,0.075684,0.0,0.0,0.35838,0.0,0.0,0.093364,5.072663,0.265078,0.714083,0.0,-0.000313,0.113567,2013-12-26
0.0,0.005327,0.133626,0.0,0.166652,0.605493,0.0,0.159626,0.611956,0.0,-0.002928,0.587806,2.322442,0.697541,0.57147,0.0,0.041441,0.415606,0.0,0.159626,0.611956,0.0,0.045225,0.047054,0.0,0.00094,0.354934,1.040512,0.231976,0.002481,2.32462,0.6974,0.653112,0.0,-0.00031,0.409671,0.0,-0.0,0.076177,0.0,-1e-06,0.357339,0.0,0.000866,0.093913,2.507197,0.131394,0.708597,0.204166,-0.016777,0.114021,2013-12-27
0.0,0.0,0.133831,0.0,0.313326,0.600711,0.0,0.295411,0.606554,0.0,0.0,0.582716,1.170981,0.597628,0.566346,0.0,0.049872,0.414038,0.0,0.295411,0.606554,0.0,0.061947,0.047327,0.0,0.000164,0.354012,0.576377,0.129482,0.002481,1.172566,0.618138,0.647377,0.0,0.0,0.407814,0.0,0.0,0.076661,0.0,0.0,0.356268,0.0,0.0,0.09445,1.267751,0.268481,0.703111,0.212854,-0.002867,0.114466,2013-12-28
0.0,6e-06,0.134028,0.0,0.098202,0.595973,0.0,0.089257,0.601201,0.0,0.004792,0.577675,0.0,0.206276,0.561287,0.0,0.037494,0.412436,0.0,0.089257,0.601201,0.0,0.031619,0.047599,0.0,-0.009542,0.353059,0.0,0.00497,0.002481,0.0,0.193135,0.641684,0.0,-0.001745,0.405941,0.0,-0.0,0.077138,0.0,-0.00077,0.355169,0.0,-0.004881,0.094977,0.0,0.090372,0.697629,0.0,-0.018487,0.1149,2013-12-29
0.0,0.000592,0.134218,0.0,0.081397,0.591278,0.0,0.072655,0.595899,0.0,-0.000707,0.572684,0.0,0.201834,0.556295,0.0,0.033917,0.410804,0.0,0.072655,0.595899,0.0,0.032004,0.047869,0.0,-0.003967,0.352074,0.0,0.004233,0.00248,0.0,0.212825,0.636035,0.0,-0.000504,0.404053,0.0,-0.0,0.077606,0.0,-0.000181,0.354045,0.0,0.006895,0.095494,0.0,0.07788,0.692156,0.0,-0.011801,0.115324,2013-12-30
0.0,-2e-05,0.134399,0.0,0.129738,0.586627,0.0,0.105481,0.590649,0.0,-0.000463,0.567743,0.0,0.210312,0.551368,0.0,0.037335,0.409143,0.0,0.105481,0.590649,0.0,0.033409,0.048136,0.0,0.008687,0.35106,0.0,0.004235,0.00248,0.0,0.22206,0.630432,0.0,-0.000181,0.402153,0.0,-4.2e-05,0.078065,0.0,-1.4e-05,0.352897,0.0,-0.000472,0.096,0.0,0.104902,0.686694,0.0,-0.004097,0.115738,2013-12-31
0.352433,-0.000443,0.134573,2.708055,0.197853,0.582022,2.522417,0.185636,0.585453,2.014125,-0.004097,0.562854,3.696469,0.752636,0.546507,2.298679,0.470583,0.407456,2.522417,0.185636,0.585453,2.839447,0.503176,0.048402,2.393533,0.104647,0.350019,0.292362,0.065248,0.002479,3.615145,0.742813,0.624878,2.096358,-0.005648,0.400242,1.923292,0.031284,0.078517,1.9525,-0.004794,0.351726,2.142308,0.115649,0.096496,3.926468,0.207026,0.681248,1.523265,-0.007886,0.116142,2014-01-01
0.0,0.0,0.134738,1.170878,0.289739,0.577462,1.072895,0.277714,0.580311,0.940137,0.0,0.558016,2.590875,0.751715,0.541711,1.165049,0.298754,0.405746,1.072895,0.277714,0.580311,3.701896,0.852043,0.048664,2.00686,0.14932,0.348952,0.0,0.001978,0.002479,2.528796,0.734177,0.619375,1.155926,0.0,0.39832,0.678484,0.010858,0.078961,0.924227,0.0,0.350533,1.513439,0.110203,0.096982,2.781797,0.274723,0.675821,0.707859,0.0,0.116535,2014-01-02
0.212981,0.0,0.134896,0.772059,0.354115,0.572948,0.733766,0.331138,0.575223,0.599473,0.0,0.553231,1.162848,0.523865,0.536978,0.644799,0.185555,0.404014,0.733766,0.331138,0.575223,1.291323,0.383117,0.048925,0.274557,0.01585,0.347861,1.051607,0.225094,0.002478,1.138224,0.536353,0.613924,0.717638,0.0,0.396391,0.937518,0.013162,0.079397,0.782425,0.0,0.349321,0.453615,0.028271,0.097458,1.237091,0.304585,0.670416,0.837802,0.0,0.116919,2014-01-03
