date,sub_basin,nearest_station,distance_km,precip_mm_day,ET_mm_day,runoff_mm_day
2013-12-25,Copper,castnet_gothic,0.23,0.811939,0.391933,0.622905
2013-12-26,Copper,castnet_gothic,0.23,0.0,0.29547,0.617407
2013-12-27,Copper,castnet_gothic,0.23,0.0,0.159626,0.611956
2013-12-28,Copper,castnet_gothic,0.23,0.0,0.295411,0.606554
2013-12-29,Copper,castnet_gothic,0.23,0.0,0.089257,0.601201
2013-12-30,Copper,castnet_gothic,0.23,0.0,0.072655,0.595899
2013-12-31,Copper,castnet_gothic,0.23,0.0,0.105481,0.590649
2014-01-01,Copper,castnet_gothic,0.23,2.522417,0.185636,0.585453
2014-01-02,Copper,castnet_gothic,0.23,1.072895,0.277714,0.580311
2014-01-03,Copper,castnet_gothic,0.23,0.733766,0.331138,0.575223
2014-01-04,Copper,castnet_gothic,0.23,3.072765,0.256272,0.570191
2014-01-05,Copper,castnet_gothic,0.23,2.715287,0.355276,0.565214
2014-01-06,Copper,castnet_gothic,0.23,0.546986,0.12231,0.560294
2014-01-07,Copper,castnet_gothic,0.23,1.411563,0.10678,0.555429
2014-01-08,Copper,castnet_gothic,0.23,3.164879,0.227866,0.550622
2014-01-09,Copper,castnet_gothic,0.23,10.249654,0.469706,0.545871
2014-01-10,Copper,castnet_gothic,0.23,11.067148,0.467519,0.541176
2014-01-11,Copper,castnet_gothic,0.23,3.086665,0.438198,0.536538
2014-01-12,Copper,castnet_gothic,0.23,2.401539,0.314106,0.531956
2014-01-13,Copper,castnet_gothic,0.23,2.530187,0.40969,0.52743
2014-01-14,Copper,castnet_gothic,0.23,1.146056,0.433806,0.52296
2014-01-15,Copper,castnet_gothic,0.23,0.582658,0.374938,0.518546
2014-01-16,Copper,castnet_gothic,0.23,0.0,0.374205,0.514187
2014-01-17,Copper,castnet_gothic,0.23,0.0,0.389522,0.509883
2014-01-18,Copper,castnet_gothic,0.23,0.0,0.097119,0.505633
2014-01-19,Copper,castnet_gothic,0.23,0.0,0.094223,0.501437
2014-01-20,Copper,castnet_gothic,0.23,0.0,0.271008,0.497294
2014-01-21,Copper,castnet_gothic,0.23,0.0,0.20557,0.493205
2014-01-22,Copper,castnet_gothic,0.23,0.0,0.167096,0.489168
2014-01-23,Copper,castnet_gothic,0.23,0.0,0.389366,0.485183
2014-01-24,Copper,castnet_gothic,0.23,0.0,0.332928,0.481249
2014-01-25,Copper,castnet_gothic,0.23,0.0,0.189079,0.477366
2014-01-26,Copper,castnet_gothic,0.23,0.0,0.056746,0.473533
2014-01-27,Copper,castnet_gothic,0.23,0.574294,-0.008191,0.46975
2014-01-28,Copper,castnet_gothic,0.23,0.598732,0.087761,0.466016
2014-01-29,Copper,castnet_gothic,0.23,6.594742,0.12491,0.46233
2014-01-30,Copper,castnet_gothic,0.23,26.487118,0.019386,0.458692
2014-01-31,Copper,castnet_gothic,0.23,40.058037,0.157828,0.455102
2014-02-01,Copper,castnet_gothic,0.23,9.122277,0.621446,0.451558
2014-02-02,Copper,castnet_gothic,0.23,1.243104,0.370518,0.448059
2014-02-03,Copper,castnet_gothic,0.23,2.84149,0.356024,0.444606
2014-02-04,Copper,castnet_gothic,0.23,6.527216,0.523399,0.441198
2014-02-05,Copper,castnet_gothic,0.23,5.767723,0.213228,0.437834
2014-02-06,Copper,castnet_gothic,0.23,5.669625,0.342069,0.434513
2014-02-07,Copper,castnet_gothic,0.23,13.887032,0.430717,0.431235
2014-02-08,Copper,castnet_gothic,0.23,22.376387,0.660211,0.428
2014-02-09,Copper,castnet_gothic,0.23,24.022341,0.378178,0.424805
2014-02-10,Copper,castnet_gothic,0.23,15.631198,0.444048,0.421652
2014-02-11,Copper,castnet_gothic,0.23,4.219638,0.54447,0.418539
2014-02-12,Copper,castnet_gothic,0.23,0.54741,0.503126,0.415466
2014-02-13,Copper,castnet_gothic,0.23,3.705912,0.303295,0.412432
2014-02-14,Copper,castnet_gothic,0.23,3.732612,0.109452,0.409437
2014-02-15,Copper,castnet_gothic,0.23,0.483735,-0.048138,0.40648
2014-02-16,Copper,castnet_gothic,0.23,0.0,0.037018,0.40356
2014-02-17,Copper,castnet_gothic,0.23,0.0,0.238515,0.400677
2014-02-18,Copper,castnet_gothic,0.23,0.0,0.411785,0.39783
2014-02-19,Copper,castnet_gothic,0.23,3.642938,0.290466,0.395019
2014-02-20,Copper,castnet_gothic,0.23,5.637236,0.359859,0.392243
2014-02-21,Copper,castnet_gothic,0.23,1.917547,0.488712,0.389502
2014-02-22,Copper,castnet_gothic,0.23,0.191639,0.81453,0.386795
2014-02-23,Copper,castnet_gothic,0.23,0.199793,0.265289,0.384121
2014-02-24,Copper,castnet_gothic,0.23,0.0,0.062464,0.381481
2014-02-25,Copper,castnet_gothic,0.23,0.0,-0.020714,0.378873
2014-02-26,Copper,castnet_gothic,0.23,0.0,0.035444,0.376297
2014-02-27,Copper,castnet_gothic,0.23,6.7556,0.155178,0.373752
2014-02-28,Copper,castnet_gothic,0.23,13.798672,0.252828,0.371239
2014-03-01,Copper,castnet_gothic,0.23,20.767658,-0.048611,0.368756
2014-03-02,Copper,castnet_gothic,0.23,14.055086,-0.005614,0.366303
2014-03-03,Copper,castnet_gothic,0.23,0.0,0.069427,0.36388
2014-03-04,Copper,castnet_gothic,0.23,0.0,0.188945,0.361486
2014-03-05,Copper,castnet_gothic,0.23,0.80807,0.23284,0.35912
2014-03-06,Copper,castnet_gothic,0.23,0.99389,0.211696,0.356783
2014-03-07,Copper,castnet_gothic,0.23,1.514417,0.166276,0.354474
2014-03-08,Copper,castnet_gothic,0.23,1.414265,0.249742,0.352191
2014-03-09,Copper,castnet_gothic,0.23,0.830128,0.322026,0.349936
2014-03-10,Copper,castnet_gothic,0.23,1.873313,0.09291,0.347708
2014-03-11,Copper,castnet_gothic,0.23,2.679614,0.476895,0.345505
2014-03-12,Copper,castnet_gothic,0.23,1.698179,0.569075,0.343328
2014-03-13,Copper,castnet_gothic,0.23,0.163735,0.645428,0.341177
2014-03-14,Copper,castnet_gothic,0.23,0.541015,0.687244,0.33905
2014-03-15,Copper,castnet_gothic,0.23,0.85649,0.428482,0.336948
2014-03-16,Copper,castnet_gothic,0.23,0.490438,0.465262,0.33487
2014-03-17,Copper,castnet_gothic,0.23,0.169249,0.442326,0.332815
2014-03-18,Copper,castnet_gothic,0.23,0.383877,0.539512,0.330785
2014-03-19,Copper,castnet_gothic,0.23,0.216252,0.66483,0.328777
2014-03-20,Copper,castnet_gothic,0.23,0.0,0.603407,0.326792
2014-03-21,Copper,castnet_gothic,0.23,0.160766,0.538446,0.324829
2014-03-22,Copper,castnet_gothic,0.23,4.373389,0.708621,0.322888
2014-03-23,Copper,castnet_gothic,0.23,4.384752,0.711364,0.320969
2014-03-24,Copper,castnet_gothic,0.23,0.0,0.813963,0.319071
2014-03-25,Copper,castnet_gothic,0.23,1.75909,0.387257,0.317194
2014-03-26,Copper,castnet_gothic,0.23,11.837048,0.390037,0.315338
2014-03-27,Copper,castnet_gothic,0.23,15.2581,0.395098,0.313502
2014-03-28,Copper,castnet_gothic,0.23,5.585427,0.684192,0.311686
2014-03-29,Copper,castnet_gothic,0.23,0.57402,0.837755,0.309891
2014-03-30,Copper,castnet_gothic,0.23,1.788359,0.473732,0.308114
2014-03-31,Copper,castnet_gothic,0.23,3.652818,0.238786,0.306357
2014-04-01,Copper,castnet_gothic,0.23,2.587573,0.68786,0.304618
2014-04-02,Copper,castnet_gothic,0.23,4.670683,0.541716,0.302899
2014-04-03,Copper,castnet_gothic,0.23,5.205626,0.526331,0.301197
2014-04-04,Copper,castnet_gothic,0.23,0.689365,0.646173,0.299514
2014-04-05,Copper,castnet_gothic,0.23,0.0,0.437047,0.297848
2014-04-06,Copper,castnet_gothic,0.23,3.471077,0.48988,0.2962
2014-04-07,Copper,castnet_gothic,0.23,5.208468,0.613659,0.29457
2014-04-08,Copper,castnet_gothic,0.23,1.657333,0.286009,0.292956
2014-04-09,Copper,castnet_gothic,0.23,0.0,0.161367,0.291359
2014-04-10,Copper,castnet_gothic,0.23,0.0,-0.003726,0.289779
2014-04-11,Copper,castnet_gothic,0.23,0.0,-0.032868,0.288215
2014-04-12,Copper,castnet_gothic,0.23,1.394402,0.01419,0.286667
2014-04-13,Copper,castnet_gothic,0.23,8.169772,0.750601,0.285134
2014-04-14,Copper,castnet_gothic,0.23,7.001823,0.732739,0.283618
2014-04-15,Copper,castnet_gothic,0.23,0.0,0.654145,0.282117
2014-04-16,Copper,castnet_gothic,0.23,0.0,0.651561,0.280631
2014-04-17,Copper,castnet_gothic,0.23,0.0,0.442589,0.27916
2014-04-18,Copper,castnet_gothic,0.23,0.0,0.076744,0.277703
2014-04-19,Copper,castnet_gothic,0.23,0.0,0.016915,0.67682
2014-04-20,Copper,castnet_gothic,0.23,0.0,-0.097195,0.549814
2014-04-21,Copper,castnet_gothic,0.23,0.0,-0.16048,0.877141
2014-04-22,Copper,castnet_gothic,0.23,0.261359,-0.076378,0.676939
2014-04-23,Copper,castnet_gothic,0.23,0.543627,0.102375,0.828433
2014-04-24,Copper,castnet_gothic,0.23,0.282685,0.193258,0.775698
2014-04-25,Copper,castnet_gothic,0.23,0.0,-0.108976,0.974544
2014-04-26,Copper,castnet_gothic,0.23,2.518635,-0.116401,0.800203
2014-04-27,Copper,castnet_gothic,0.23,6.71015,0.265409,0.806281
2014-04-28,Copper,castnet_gothic,0.23,8.933719,0.632624,0.298544
2014-04-29,Copper,castnet_gothic,0.23,6.416749,0.604014,0.2626
2014-04-30,Copper,castnet_gothic,0.23,3.150048,0.786694,0.28559
