date,sub_basin,chloride_umolL,chloride_mgL,outlier_flag
2014-06-27,Copper,10.4,0.3687,False
2014-07-03,Copper,9.3,0.3297,False
2014-07-16,Copper,4.2,0.1489,False
2014-07-23,Copper,4.7,0.1666,False
2014-07-30,Copper,11.7,0.4148,False
2014-08-05,Copper,5.0,0.1773,False
2014-08-13,Copper,5.5,0.195,False
2014-08-21,Copper,6.1,0.2163,False
2014-08-30,Copper,6.0,0.2127,False
2014-09-07,Copper,7.7,0.273,False
2014-09-14,Copper,11.3,0.4006,False
2014-09-23,Copper,14.3,0.507,False
2014-10-01,Copper,11.9,0.4219,False
2014-10-07,Copper,15.1,0.5353,False
2014-10-14,Copper,11.0,0.39,False
2014-10-23,Copper,15.1,0.5353,False
2014-10-31,Copper,10.1,0.3581,False
2014-11-08,Copper,12.9,0.4573,False
2014-11-18,Copper,11.2,0.3971,False
2014-12-07,Copper,10.4,0.3687,False
2015-02-07,Copper,9.5,0.3368,False
2015-02-19,Copper,8.5,0.3014,False
2015-03-16,Copper,8.5,0.3014,False
2015-04-09,Copper,6.9,0.2446,False
2015-05-02,Copper,9.4,0.3333,False
2015-05-11,Copper,3.3,0.117,False
2015-05-24,Copper,10.5,0.3723,False
2015-06-02,Copper,6.1,0.2163,False
2015-06-11,Copper,7.2,0.2553,False
2015-06-18,Copper,8.0,0.2836,False
2015-06-25,Copper,7.4,0.2624,False
2015-07-02,Copper,5.2,0.1844,False
2015-07-09,Copper,5.1,0.1808,False
2015-07-15,Copper,4.5,0.1595,False
2015-07-25,Copper,8.1,0.2872,False
2015-08-02,Copper,7.5,0.2659,False
2015-08-09,Copper,7.6,0.2694,False
2015-08-16,Copper,7.1,0.2517,False
2015-08-23,Copper,8.9,0.3155,False
2015-08-30,Copper,7.9,0.2801,False
2015-09-07,Copper,9.3,0.3297,False
2015-09-13,Copper,7.2,0.2553,False
2015-09-23,Copper,8.2,0.2907,False
2015-09-28,Copper,10.0,0.3545,False
2015-10-04,Copper,11.6,0.4113,False
2015-10-13,Copper,13.1,0.4644,False
2015-10-19,Copper,30.7,1.0884,True
2015-10-25,Copper,20.7,0.7339,False
2015-11-02,Copper,10.6,0.3758,False
2015-11-09,Copper,10.6,0.3758,False
2015-11-15,Copper,10.1,0.3581,False
2015-11-23,Copper,8.6,0.3049,False
2015-12-01,Copper,10.6,0.3758,False
2015-12-09,Copper,9.3,0.3297,False
2015-12-30,Copper,13.1,0.4644,False
2016-01-18,Copper,14.0,0.4963,False
2016-01-28,Copper,13.6,0.4822,False
2016-02-12,Copper,11.2,0.3971,False
2016-02-21,Copper,11.9,0.4219,False
2016-03-09,Copper,8.8,0.312,False
2016-03-17,Copper,8.8,0.312,False
2016-03-24,Copper,8.7,0.3084,False
2016-03-31,Copper,8.7,0.3084,False
2016-04-08,Copper,16.5,0.585,False
2016-04-21,Copper,10.2,0.3616,False
2016-05-02,Copper,8.8,0.312,False
2016-05-12,Copper,6.6,0.234,False
2016-05-20,Copper,9.0,0.3191,False
2016-05-27,Copper,7.7,0.273,False
2016-06-04,Copper,6.2,0.2198,False
2016-06-11,Copper,4.6,0.1631,False
2016-06-17,Copper,5.2,0.1844,False
2016-06-27,Copper,5.4,0.1914,False
2016-07-08,Copper,6.3,0.2234,False
2016-07-15,Copper,10.8,0.3829,False
2016-07-16,Copper,7.3,0.2588,False
2016-07-22,Copper,5.6,0.1985,False
2016-07-29,Copper,5.2,0.1844,False
2016-08-05,Copper,7.4,0.2624,False
2016-08-12,Copper,6.7,0.2375,False
2016-08-19,Copper,7.9,0.2801,False
2016-08-26,Copper,7.8,0.2765,False
2016-09-02,Copper,7.8,0.2765,False
2016-09-09,Copper,8.2,0.2907,False
2016-09-16,Copper,7.1,0.2517,False
2016-09-23,Copper,10.8,0.3829,False
2016-09-30,Copper,9.5,0.3368,False
2016-10-12,Copper,8.0,0.2836,False
2016-10-19,Copper,9.2,0.3262,False
2016-10-27,Copper,7.6,0.2694,False
2016-11-03,Copper,7.1,0.2517,False
2016-11-12,Copper,7.2,0.2553,False
2016-11-23,Copper,6.8,0.2411,False
2016-12-04,Copper,6.7,0.2375,False
2016-12-19,Copper,6.9,0.2446,False
2017-02-01,Copper,6.3,0.2234,False
2017-03-19,Copper,6.9,0.2446,False
2017-04-12,Copper,6.3,0.2234,False
2017-04-30,Copper,6.4,0.2269,False
2017-05-11,Copper,10.1,0.3581,False
2017-05-31,Copper,5.2,0.1844,False
2017-06-15,Copper,5.1,0.1808,False
2017-06-30,Copper,3.1,0.1099,False
2017-07-13,Copper,4.8,0.1702,False
2017-07-30,Copper,8.7,0.3084,False
2017-08-25,Copper,7.6,0.2694,False
2017-09-13,Copper,19.6,0.6949,False
2017-09-27,Copper,7.5,0.2659,False
2017-10-14,Copper,6.7,0.2375,False
2017-10-23,Copper,8.9,0.3155,False
