date,well_id,chloride_umolL,chloride_mgL
2016-09-22,ER-PLM1,22.323,0.7914
2016-11-01,ER-PLM1,22.524,0.7985
2016-11-16,ER-PLM1,15.4711,0.5485
2017-05-06,ER-PLM1,17.1922,0.6095
2017-06-06,ER-PLM1,15.862,0.5624
2017-06-22,ER-PLM1,13.2115,0.4684
2020-07-14,ER-PLM1,18.3797,0.6516
2020-07-21,ER-PLM1,24.4343,0.8663
2020-07-29,ER-PLM1,29.7526,1.0548
2020-08-04,ER-PLM1,28.2742,1.0024
2020-08-12,ER-PLM1,36.6454,1.2992
2020-08-19,ER-PLM1,40.57,1.4383
2020-08-24,ER-PLM1,29.0745,1.0308
2020-09-02,ER-PLM1,33.73,1.1958
2020-09-14,ER-PLM1,29.41,1.0427
2020-09-23,ER-PLM1,31.29,1.1093
2020-09-29,ER-PLM1,24.17,0.8569
2020-10-05,ER-PLM1,26.62,0.9438
2020-10-13,ER-PLM1,72.56,2.5725
2020-10-22,ER-PLM1,22.26,0.7892
2020-10-28,ER-PLM1,19.13,0.6782
2020-11-03,ER-PLM1,15.35,0.5442
2020-11-19,ER-PLM1,16.24,0.5758
2021-04-28,ER-PLM1,20.15,0.7144
2021-05-04,ER-PLM1,15.51,0.5499
2021-05-13,ER-PLM1,19.81,0.7023
2021-05-18,ER-PLM1,15.54,0.5509
2021-05-27,ER-PLM1,19.96,0.7076
2021-06-02,ER-PLM1,32.84,1.1643
2021-06-08,ER-PLM1,26.48,0.9388
2021-06-15,ER-PLM1,24.26,0.8601
2021-06-22,ER-PLM1,35.5,1.2586
2021-07-01,ER-PLM1,25.93,0.9193
2021-07-07,ER-PLM1,27.39,0.9711
2021-07-16,ER-PLM1,17.57,0.6229
2021-07-20,ER-PLM1,35.27,1.2504
2021-07-27,ER-PLM1,36.59,1.2972
2021-08-04,ER-PLM1,22.12,0.7842
2021-08-10,ER-PLM1,17.74,0.6289
2021-08-17,ER-PLM1,13.95,0.4946
2021-08-24,ER-PLM1,25.83,0.9158
2021-08-31,ER-PLM1,27.38,0.9707
2021-09-08,ER-PLM1,18.68,0.6623
2021-09-27,ER-PLM1,31.86,1.1295
2021-10-15,ER-PLM1,24.42,0.8658
2022-05-12,ER-PLM1,13.11,0.4648
2022-05-27,ER-PLM1,12.39,0.4393
2022-06-20,ER-PLM1,15.02,0.5325
2022-07-06,ER-PLM1,14.38,0.5098
2022-07-18,ER-PLM1,25.82,0.9154
2022-08-02,ER-PLM1,20.97,0.7434
2022-08-30,ER-PLM1,15.93,0.5648
2022-09-13,ER-PLM1,95.17,3.3741
2022-09-29,ER-PLM1,25.78,0.914
2022-10-20,ER-PLM1,21.8,0.7729
2023-05-17,ER-PLM1,15.72,0.5573
2023-06-29,ER-PLM1,14.8645,0.527
2023-07-11,ER-PLM1,17.9519,0.6364
2023-07-26,ER-PLM1,21.2991,0.7551
2023-08-10,ER-PLM1,15.9442,0.5653
2019-05-19,ER-PLM11,28.677009873060644,1.0167
2019-10-03,ER-PLM11,6.784203102961918,0.2405
2020-05-05,ER-PLM11,40.74471086036671,1.4445
2020-05-28,ER-PLM11,12.905500705218616,0.4575
2020-06-10,ER-PLM11,10.606488011283496,0.376
2020-06-24,ER-PLM11,9.029619181946403,0.3201
2020-07-08,ER-PLM11,5.057827926657263,0.1793
2020-08-04,ER-PLM11,6.801128349788435,0.2411
2020-08-27,ER-PLM11,9.385049365303242,0.3327
2019-10-03,ER-PLM12,6.400564174894216,0.2269
2020-05-05,ER-PLM12,41.07193229901269,1.4561
2020-05-28,ER-PLM12,12.352609308885755,0.4379
2020-06-10,ER-PLM12,10.81805359661495,0.3835
2020-06-24,ER-PLM12,7.094499294781381,0.2515
2020-07-08,ER-PLM12,4.8829337094499285,0.1731
2020-08-04,ER-PLM12,7.684062059238363,0.2724
2020-08-27,ER-PLM12,8.959097320169251,0.3176
2020-06-02,ER-PLM5,97.3292,3.4506
2020-06-16,ER-PLM5,102.5294,3.635
2020-07-14,ER-PLM5,92.4798,3.2787
2016-11-01,ER-PLM6,54.095,1.9178
2016-11-16,ER-PLM6,42.4402,1.5046
2017-04-14,ER-PLM6,27.4841,0.9744
2017-05-06,ER-PLM6,20.6625,0.7325
2017-06-06,ER-PLM6,18.2721,0.6478
2017-06-22,ER-PLM6,36.8119,1.3051
2017-10-12,ER-PLM6,31.3576,1.1117
2017-10-24,ER-PLM6,25.4281,0.9015
2018-03-07,ER-PLM6,36.4697,1.293
2018-04-02,ER-PLM6,40.0996,1.4217
2020-07-14,ER-PLM6,58.2419,2.0649
2020-07-21,ER-PLM6,114.0765,4.0444
2020-07-29,ER-PLM6,52.1894,1.8503
2020-08-04,ER-PLM6,56.0172,1.986
2020-08-12,ER-PLM6,53.2811,1.889
2020-08-19,ER-PLM6,61.15,2.168
2020-08-24,ER-PLM6,68.88,2.442
2020-09-02,ER-PLM6,52.96,1.8776
2020-09-10,ER-PLM6,54.89,1.946
2020-09-14,ER-PLM6,50.82,1.8017
2020-09-23,ER-PLM6,48.76,1.7287
2020-09-29,ER-PLM6,71.12,2.5214
2020-10-05,ER-PLM6,58.22,2.0641
2020-10-13,ER-PLM6,56.48,2.0024
2020-10-20,ER-PLM6,59.88,2.1229
2020-10-28,ER-PLM6,47.5,1.684
2020-11-03,ER-PLM6,42.05,1.4908
2020-11-10,ER-PLM6,61.18,2.169
2020-11-19,ER-PLM6,44.04,1.5614
2020-12-03,ER-PLM6,59.62,2.1137
2021-01-20,ER-PLM6,59.67,2.1155
2021-02-19,ER-PLM6,46.28,1.6408
2021-03-09,ER-PLM6,56.68,2.0095
2021-04-06,ER-PLM6,49.77,1.7645
2021-04-28,ER-PLM6,16.0,0.5672
2021-05-04,ER-PLM6,16.84,0.597
2021-05-13,ER-PLM6,18.63,0.6605
2021-05-18,ER-PLM6,16.78,0.5949
2021-05-27,ER-PLM6,20.73,0.7349
2021-06-02,ER-PLM6,23.73,0.8413
2021-06-08,ER-PLM6,26.0,0.9218
2021-06-15,ER-PLM6,25.03,0.8874
2021-06-22,ER-PLM6,18.34,0.6502
2021-07-01,ER-PLM6,40.13,1.4227
2021-07-07,ER-PLM6,75.32,2.6703
2021-07-16,ER-PLM6,61.53,2.1814
2021-07-20,ER-PLM6,83.88,2.9738
2021-07-27,ER-PLM6,62.36,2.2108
2021-08-04,ER-PLM6,63.71,2.2587
2021-08-10,ER-PLM6,56.21,1.9928
2021-08-17,ER-PLM6,53.88,1.9102
2021-08-24,ER-PLM6,77.09,2.7331
2021-08-31,ER-PLM6,59.96,2.1258
2021-09-08,ER-PLM6,58.59,2.0772
2021-09-27,ER-PLM6,57.19,2.0276
2021-10-15,ER-PLM6,47.23,1.6744
2021-10-20,ER-PLM6,56.99,2.0205
2021-10-28,ER-PLM6,49.22,1.745
2021-11-04,ER-PLM6,68.08,2.4136
2021-11-08,ER-PLM6,57.36,2.0336
2021-12-01,ER-PLM6,51.58,1.8287
2022-01-07,ER-PLM6,53.32,1.8904
2022-02-03,ER-PLM6,212.83,7.5455
2022-03-03,ER-PLM6,56.57,2.0056
2022-04-11,ER-PLM6,60.8,2.1555
2022-04-28,ER-PLM6,28.28,1.0026
2022-05-12,ER-PLM6,36.09,1.2795
2022-06-20,ER-PLM6,18.09,0.6413
2022-07-06,ER-PLM6,21.77,0.7718
2022-07-18,ER-PLM6,31.77,1.1263
2022-08-02,ER-PLM6,60.46,2.1435
2022-08-30,ER-PLM6,69.14,2.4512
2022-09-13,ER-PLM6,71.07,2.5196
2022-10-20,ER-PLM6,61.82,2.1917
2022-11-17,ER-PLM6,62.27,2.2077
2023-01-26,ER-PLM6,59.97,2.1261
2023-02-08,ER-PLM6,72.67,2.5764
2023-03-07,ER-PLM6,61.32,2.174
2023-04-06,ER-PLM6,67.22,2.3832
2023-05-03,ER-PLM6,18.92,0.6708
2023-05-17,ER-PLM6,23.42,0.8303
2023-06-29,ER-PLM6,22.0175,0.7806
2023-07-11,ER-PLM6,22.0318,0.7811
2023-07-26,ER-PLM6,24.5915,0.8718
2023-08-10,ER-PLM6,28.1572,0.9983
2023-08-22,ER-PLM6,41.3782,1.467
2023-09-08,ER-PLM6,45.5655,1.6154
2023-11-02,ER-PLM6,59.8531,2.122
2024-03-08,ER-PLM6,66.6849,2.3642
2024-05-08,ER-PLM6,90.3257,3.2023
2024-05-22,ER-PLM6,22.2384,0.7884
2024-06-10,ER-PLM6,21.8053,0.7731
2024-06-26,ER-PLM6,35.8094,1.2696
2024-07-15,ER-PLM6,39.9342,1.4158
2024-07-30,ER-PLM6,50.0369,1.774
2024-09-04,ER-PLM6,58.3396,2.0683
2020-06-02,ER-PLM7,12.1102,0.4293
2020-06-16,ER-PLM7,17.221,0.6105
2020-06-30,ER-PLM7,11.5823,0.4106
2020-07-14,ER-PLM7,10.9588,0.3885
2020-07-21,ER-PLM7,16.2481,0.576
2020-07-29,ER-PLM7,13.4743,0.4777
2020-08-04,ER-PLM7,12.7435,0.4518
2020-08-12,ER-PLM7,13.8332,0.4904
2020-08-19,ER-PLM7,11.67,0.4137
2020-08-24,ER-PLM7,34.9019,1.2374
2020-09-02,ER-PLM7,15.83,0.5612
2020-09-10,ER-PLM7,11.37,0.4031
2020-09-14,ER-PLM7,70.14,2.4867
2020-09-22,ER-PLM7,10.99,0.3896
2020-09-29,ER-PLM7,10.9,0.3864
2020-10-05,ER-PLM7,13.86,0.4914
2020-10-13,ER-PLM7,15.69,0.5563
2020-10-20,ER-PLM7,13.05,0.4627
2020-10-28,ER-PLM7,8.02,0.2843
2020-11-03,ER-PLM7,15.36,0.5446
2020-11-10,ER-PLM7,11.71,0.4152
2020-11-19,ER-PLM7,19.34,0.6857
2020-12-03,ER-PLM7,11.0,0.39
2021-01-06,ER-PLM7,56.1981,1.9924
2021-02-19,ER-PLM7,9.84,0.3489
2021-03-09,ER-PLM7,13.66,0.4843
2021-04-06,ER-PLM7,12.56,0.4453
2021-04-28,ER-PLM7,16.41,0.5818
2021-05-04,ER-PLM7,12.07,0.4279
2021-05-13,ER-PLM7,13.11,0.4648
2021-05-18,ER-PLM7,11.98,0.4247
2021-05-27,ER-PLM7,14.99,0.5314
2021-06-02,ER-PLM7,16.14,0.5722
2021-06-08,ER-PLM7,16.16,0.5729
2021-06-15,ER-PLM7,17.61,0.6243
2021-06-22,ER-PLM7,10.81,0.3832
2021-07-01,ER-PLM7,12.3,0.4361
2021-07-07,ER-PLM7,28.57,1.0129
2021-07-16,ER-PLM7,14.88,0.5275
2021-07-27,ER-PLM7,11.62,0.412
2021-08-04,ER-PLM7,13.86,0.4914
2021-08-10,ER-PLM7,9.66,0.3425
2021-08-17,ER-PLM7,25.71,0.9115
