date,sub_basin,Q_cms,notes
2015-09-06,Copper,0.6145,
2015-09-07,Copper,0.619,
2015-09-08,Copper,0.5317,
2015-09-09,Copper,0.4477,
2015-09-10,Copper,0.4015,
2015-09-11,Copper,0.362,
2015-09-12,Copper,0.3408,
2015-09-13,Copper,0.3328,
2015-09-14,Copper,0.3273,
2015-09-15,Copper,0.5744,
2015-09-16,Copper,0.5183,
2015-09-17,Copper,0.4259,
2015-09-18,Copper,0.3773,
2015-09-19,Copper,0.3561,
2015-09-20,Copper,0.3288,
2015-09-21,Copper,0.309,
2015-09-22,Copper,0.3011,
2015-09-23,Copper,0.2826,
2015-09-24,Copper,0.2644,
2015-09-25,Copper,0.2549,
2015-09-26,Copper,0.2487,
2015-09-27,Copper,0.2429,
2015-09-28,Copper,0.2375,
2015-09-29,Copper,0.2292,
2015-09-30,Copper,0.2236,
2015-10-01,Copper,0.2173,
2015-10-02,Copper,0.2161,
2015-10-03,Copper,0.2119,
2015-10-04,Copper,0.2032,
2015-10-05,Copper,0.2096,
2015-10-06,Copper,0.234,
2015-10-07,Copper,0.2223,
2015-10-08,Copper,0.2009,
2015-10-09,Copper,0.1915,
2015-10-10,Copper,0.1863,
2015-10-11,Copper,0.1846,
2015-10-12,Copper,0.1761,
2015-10-13,Copper,0.1714,
2015-10-14,Copper,0.1669,
2015-10-15,Copper,0.1637,
2015-10-16,Copper,0.1593,
2015-10-17,Copper,0.1586,
2015-10-18,Copper,0.1698,
2015-10-19,Copper,0.2001,
2015-10-20,Copper,0.1826,
2015-10-21,Copper,0.1559,
2015-10-22,Copper,0.1728,
2015-10-23,Copper,0.1562,
2015-10-24,Copper,0.1503,
2015-10-25,Copper,0.1807,
2015-10-26,Copper,0.2061,
2015-10-27,Copper,0.2043,
2015-10-28,Copper,0.2024,
2015-10-29,Copper,0.2006,
2015-10-30,Copper,0.1988,
2015-10-31,Copper,0.1971,
2015-11-01,Copper,0.1953,
2015-11-02,Copper,0.1935,
2015-11-03,Copper,0.1918,
2015-11-04,Copper,0.19,
2015-11-05,Copper,0.1883,
2015-11-06,Copper,0.1865,
2015-11-07,Copper,0.1848,
2015-11-08,Copper,0.1831,
2015-11-09,Copper,0.1814,
2015-11-10,Copper,0.1797,
2015-11-11,Copper,0.178,
2015-11-12,Copper,0.1763,
2015-11-13,Copper,0.1747,
2015-11-14,Copper,0.173,
2015-11-15,Copper,0.1714,
2015-11-16,Copper,0.1697,
2015-11-17,Copper,0.1681,
2015-11-18,Copper,0.1665,
2015-11-19,Copper,0.1648,
2015-11-20,Copper,0.1632,
2015-11-21,Copper,0.1616,
2015-11-22,Copper,0.1601,
2015-11-23,Copper,0.1585,
2015-11-24,Copper,0.1569,
2015-11-25,Copper,0.1553,
2015-11-26,Copper,0.1538,
2015-11-27,Copper,0.1522,
2015-11-28,Copper,0.1507,
2015-11-29,Copper,0.1492,
2015-11-30,Copper,0.1477,
2015-12-01,Copper,0.1462,
2015-12-02,Copper,0.1447,
2015-12-03,Copper,0.1432,
2015-12-04,Copper,0.1417,
2015-12-05,Copper,0.1402,
2015-12-06,Copper,0.1387,
2015-12-07,Copper,0.1373,
2015-12-08,Copper,0.1358,
2015-12-09,Copper,0.1344,
2015-12-10,Copper,0.133,
2015-12-11,Copper,0.1316,
2015-12-12,Copper,0.1301,
2015-12-13,Copper,0.1287,
2015-12-14,Copper,0.1273,
2015-12-15,Copper,0.126,
2015-12-16,Copper,0.1246,
2015-12-17,Copper,0.1232,
2015-12-18,Copper,0.1219,
2015-12-19,Copper,0.1205,
2015-12-20,Copper,0.1192,
2015-12-21,Copper,0.1178,
2015-12-22,Copper,0.1165,
2015-12-23,Copper,0.1152,
2015-12-24,Copper,0.1139,
2015-12-25,Copper,0.1126,
2015-12-26,Copper,0.1113,
2015-12-27,Copper,0.11,
2015-12-28,Copper,0.1087,
2015-12-29,Copper,0.1074,
2015-12-30,Copper,0.1062,
2015-12-31,Copper,0.1049,
2016-01-01,Copper,0.1037,
2016-01-02,Copper,0.1025,
2016-01-03,Copper,0.1012,
2016-01-04,Copper,0.1,
2016-01-05,Copper,0.0988,
2016-01-06,Copper,0.0976,
2016-01-07,Copper,0.0964,
2016-01-08,Copper,0.0952,
2016-01-09,Copper,0.0941,
2016-01-10,Copper,0.0929,
2016-01-11,Copper,0.0917,
2016-01-12,Copper,0.0906,
2016-01-13,Copper,0.0894,
2016-01-14,Copper,0.0883,
2016-01-15,Copper,0.0872,
2016-01-16,Copper,0.0861,
2016-01-17,Copper,0.085,
2016-01-18,Copper,0.0839,
2016-01-19,Copper,0.0828,
2016-01-20,Copper,0.0817,
2016-01-21,Copper,0.0806,
2016-01-22,Copper,0.0795,
2016-01-23,Copper,0.0785,
2016-01-24,Copper,0.0774,
2016-01-25,Copper,0.0764,
2016-01-26,Copper,0.0753,
2016-01-27,Copper,0.0743,
2016-01-28,Copper,0.0733,
2016-01-29,Copper,0.0723,
2016-01-30,Copper,0.0713,
2016-01-31,Copper,0.0703,
2016-02-01,Copper,0.0693,
2016-02-02,Copper,0.0683,
2016-02-03,Copper,0.0673,
2016-02-04,Copper,0.0664,
2016-02-05,Copper,0.0654,
2016-02-06,Copper,0.0645,
2016-02-07,Copper,0.0635,
2016-02-08,Copper,0.0626,
2016-02-09,Copper,0.0617,
2016-02-10,Copper,0.0608,
2016-02-11,Copper,0.0598,
2016-02-12,Copper,0.0589,
2016-02-13,Copper,0.0581,
2016-02-14,Copper,0.0572,
2016-02-15,Copper,0.0563,
2016-02-16,Copper,0.0554,
2016-02-17,Copper,0.0546,
2016-02-18,Copper,0.0537,
2016-02-19,Copper,0.0529,
2016-02-20,Copper,0.052,
2016-02-21,Copper,0.0512,
2016-02-22,Copper,0.0504,
2016-02-23,Copper,0.0495,
2016-02-24,Copper,0.0487,
2016-02-25,Copper,0.0479,
2016-02-26,Copper,0.0471,
2016-02-27,Copper,0.0463,
2016-02-28,Copper,0.0456,
2016-02-29,Copper,0.0448,
2016-03-01,Copper,0.047,
2016-03-02,Copper,0.0471,
2016-03-03,Copper,0.0474,
2016-03-04,Copper,0.048,
2016-03-05,Copper,0.0531,
2016-03-06,Copper,0.0609,
2016-03-07,Copper,0.0542,
2016-03-08,Copper,0.0532,
2016-03-09,Copper,0.0497,
2016-03-10,Copper,0.0516,
2016-03-11,Copper,0.0568,
2016-03-12,Copper,0.0578,
2016-03-13,Copper,0.0606,
2016-03-14,Copper,0.0653,
2016-03-15,Copper,0.0653,
2016-03-16,Copper,0.0698,
2016-03-17,Copper,0.0618,
2016-03-18,Copper,0.0546,
2016-03-19,Copper,0.0526,
2016-03-20,Copper,0.0538,
2016-03-21,Copper,0.0583,
2016-03-22,Copper,0.0596,
2016-03-23,Copper,0.047,
2016-03-24,Copper,0.0557,
2016-03-25,Copper,0.0553,
2016-03-26,Copper,0.0502,
2016-03-27,Copper,0.0592,
2016-03-28,Copper,0.0559,
2016-03-29,Copper,0.0512,
2016-03-30,Copper,0.0468,
2016-03-31,Copper,0.0462,
2016-04-01,Copper,0.052,
2016-04-02,Copper,0.0473,
2016-04-03,Copper,0.0476,
2016-04-04,Copper,0.0593,
2016-04-05,Copper,0.0687,
2016-04-06,Copper,0.0707,
2016-04-07,Copper,0.0871,
2016-04-08,Copper,0.1216,
2016-04-09,Copper,0.1347,
2016-04-10,Copper,0.1269,
2016-04-11,Copper,0.1293,
2016-04-12,Copper,0.1597,
2016-04-13,Copper,0.201,
2016-04-14,Copper,0.2321,
2016-04-15,Copper,0.1875,
2016-04-16,Copper,0.1446,
2016-04-17,Copper,0.1251,
2016-04-18,Copper,0.1158,
2016-04-19,Copper,0.1066,
2016-04-20,Copper,0.0969,
2016-04-21,Copper,0.0981,
2016-04-22,Copper,0.1243,
2016-04-23,Copper,0.1678,
2016-04-24,Copper,0.1532,
2016-04-25,Copper,0.1502,
2016-04-26,Copper,0.1359,
2016-04-27,Copper,0.1304,
2016-04-28,Copper,0.1254,
2016-04-29,Copper,0.1243,
2016-04-30,Copper,0.1078,
2016-05-01,Copper,0.1022,
2016-05-02,Copper,0.1024,
2016-05-03,Copper,0.1095,
2016-05-04,Copper,0.1517,
2016-05-05,Copper,0.2713,
2016-05-06,Copper,0.4459,
2016-05-07,Copper,0.393,
2016-05-08,Copper,0.3215,
2016-05-09,Copper,0.2712,
2016-05-10,Copper,0.2727,
2016-05-11,Copper,0.2434,
2016-05-12,Copper,0.2478,
2016-05-13,Copper,0.3398,
2016-05-14,Copper,0.6002,
2016-05-15,Copper,0.8432,
2016-05-16,Copper,0.6999,
2016-05-17,Copper,0.5816,
2016-05-18,Copper,0.5463,
2016-05-19,Copper,0.6882,
2016-05-20,Copper,0.8614,
2016-05-21,Copper,1.172,
2016-05-22,Copper,1.3321,
2016-05-23,Copper,1.2095,
2016-05-24,Copper,1.0957,
2016-05-25,Copper,1.1201,
2016-05-26,Copper,1.0594,
2016-05-27,Copper,0.7841,
2016-05-28,Copper,0.7052,
2016-05-29,Copper,0.886,
2016-05-30,Copper,1.1569,
2016-05-31,Copper,1.322,
