date,Rustlers,Copper,EAQ,Gothic_ME,PH_LT
2014-05-01,,,,,4.5682
2014-05-02,,,,,4.5438
2014-05-03,,,,,4.9778
2014-05-04,,,,,6.0783
2014-05-05,,,,,7.2093
2014-05-06,,,,,7.8207
2014-05-07,,,,,8.1263
2014-05-08,,,,,7.3927
2014-05-09,,,,,6.2617
2014-05-10,,,,,5.6565
2014-05-11,,,,,5.5892
2014-05-12,,,,,5.3202
2014-05-13,,,,,4.8495
2014-05-14,,,,,4.556
2014-05-15,,,,,4.1831
2014-05-16,,,,,4.1464
2014-05-17,,,,,4.4398
2014-05-18,,,,,5.687
2014-05-19,,,,,6.6346
2014-05-20,,,,,7.9429
2014-05-21,,,,,9.5325
2014-05-22,,,,,9.2268
2014-05-23,,,,,9.5325
2014-05-24,,,,,9.777
2014-05-25,,,,,10.4495
2014-05-26,,,,,8.9823
2014-05-27,,,,,9.6547
2014-05-28,,,,,11.7334
2014-05-29,,,,,13.9954
2014-05-30,,,,,15.157
2014-05-31,,,,,15.2793
2014-06-01,,,,,15.8295
2014-06-02,,,,,16.9911
2014-06-03,,,,,16.6854
2014-06-04,,,,,16.1352
2014-06-05,,,,,16.1352
2014-06-06,,,,,15.8295
2014-06-07,,,,,15.6461
2014-06-08,,,,,15.4015
2014-06-09,,,,,13.0784
2014-06-10,,,,,11.6722
2014-06-11,,,,,11.4888
2014-06-12,,,,,12.0391
2014-06-13,,,,,12.2836
2014-06-14,,,,,12.8338
2014-06-15,,,,,11.3054
2014-06-16,,,,,10.4495
2014-06-17,,,,,10.0827
2014-06-18,,,,,10.3272
2014-06-19,,,,,9.5936
2014-06-20,,,,,9.5325
2014-06-21,,,,,9.6547
2014-06-22,,,,,8.9823
2014-06-23,,,,,8.9823
2014-06-24,,,,,8.6154
2014-06-25,,,,,8.6154
2014-06-26,,,,,8.7988
2014-06-27,,,,,8.6154
2014-06-28,,,,,7.8818
2014-06-29,,,,,7.8207
2014-06-30,,,,,7.8207
2014-07-01,,,,,7.5761
2014-07-02,,,,,7.0504
2014-07-03,,,,,6.6346
2014-07-04,,,,,6.3717
2014-07-05,,,,,6.4207
2014-07-06,,,,,6.115
2014-07-07,,,,,5.791
2014-07-08,,,,,5.5158
2014-07-09,,,,,5.253
2014-07-10,,,,,4.9228
2014-07-11,,,,,4.9228
2014-07-12,,,,,4.8067
2014-07-13,,,,,4.7944
2014-07-14,,,,,4.3726
2014-07-15,,,,,4.0363
2014-07-16,,,,,3.8896
2014-07-17,,,,,3.8957
2014-07-18,,,,,3.5656
2014-07-19,,,,,3.3027
2014-07-20,,,,,3.1499
2014-07-21,,,,,3.1132
2014-07-22,,,,,2.8931
2014-07-23,,,,,2.7892
2014-07-24,,,,,2.7586
2014-07-25,,,,,2.6914
2014-07-26,,,,,2.5813
2014-07-27,,,,,2.5385
2014-07-28,,,,,2.9176
2014-07-29,,,,,3.1071
2014-07-30,,,,,2.997
2014-07-31,,,,,2.7831
2014-08-01,,,,,2.8136
2014-08-02,,,,,2.7586
2014-08-03,,,,,2.5691
2014-08-04,,,,,2.5752
2014-08-05,,,,,2.5997
2014-08-06,,,,,2.7892
2014-08-07,,,,,2.5752
2014-08-08,,,,,2.4407
2014-08-09,,,,,2.3429
2014-08-10,,,,,2.3001
2014-08-11,,,,,2.3184
2014-08-12,,,,,2.2634
2014-08-13,,,,,2.2206
2014-08-14,,,,,2.1656
2014-08-15,,,,,2.1228
2014-08-16,,,,,2.0066
2014-08-17,,,,,1.9149
2014-08-18,,,,,1.8599
2014-08-19,,,,,1.8477
2014-08-20,,,,,1.8844
2014-08-21,,,,,1.8905
2014-08-22,,,,,1.8599
2014-08-23,,,,,1.97
2014-08-24,,,,,2.3979
2014-08-25,,,,,2.1289
2014-08-26,,,,,2.0617
2014-08-27,,,,,2.1656
2014-08-28,,,,,2.294
2014-08-29,,,,,2.3245
2014-08-30,,,,,2.1839
2014-08-31,,,,0.1073,2.1045
2014-09-01,,,0.3854,0.0982,2.0311
2014-09-02,,,0.3827,0.081,1.902
2014-09-03,,,0.3778,0.0675,1.7508
2014-09-04,,,0.3737,0.0649,1.7736
2014-09-05,,,0.3773,0.0601,1.9376
2014-09-06,,,0.3733,0.0497,1.7259
2014-09-07,,,0.3701,0.0485,1.6434
2014-09-08,,,0.3688,0.0495,1.6243
2014-09-09,,,0.3967,0.1233,3.5195
2014-09-10,,,0.4872,0.103,3.9084
2014-09-11,,,0.4309,0.0877,2.6622
2014-09-12,,,0.4097,0.0709,2.1823
2014-09-13,,,0.3994,0.0597,1.9089
2014-09-14,,,0.3917,0.0522,1.7138
2014-09-15,,,0.3868,0.0477,1.5909
2014-09-16,,,0.3809,0.0454,1.4965
2014-09-17,,,0.3769,0.0396,1.3689
2014-09-18,,,0.3746,0.0353,1.2916
2014-09-19,,,0.3724,0.0313,1.2
2014-09-20,,,0.3697,0.0305,1.1429
2014-09-21,,,0.38,0.0417,1.43
2014-09-22,,,0.4057,0.0522,2.0057
2014-09-23,,,0.4016,0.0342,1.5376
2014-09-24,,,0.3872,0.0292,1.277
2014-09-25,,,0.3791,0.0259,1.115
2014-09-26,,,0.3746,0.0231,1.0191
2014-09-27,,,0.3715,0.0205,0.9667
2014-09-28,,,0.3719,0.0245,1.0269
2014-09-29,,,0.3863,0.0252,1.4571
2014-09-30,,,0.3994,0.0214,1.3577
2014-10-01,,,0.3935,0.0182,1.2545
2014-10-02,,,0.4272,0.0154,1.2041
2014-10-03,,,0.4494,0.0129,1.0785
2014-10-04,,,0.4317,0.0109,1.0095
2014-10-05,,,0.3535,0.0091,0.9657
2014-10-06,,,0.3167,0.0075,0.8985
2014-10-07,,,0.2934,0.0057,0.8698
2014-10-08,,,0.2613,0.0052,0.831
2014-10-09,,,0.2746,0.0075,0.9047
2014-10-10,,,0.2935,0.0078,0.9762
2014-10-11,,,0.3025,0.0081,0.9455
2014-10-12,,,0.3307,0.0085,0.9684
2014-10-13,,,0.3516,0.0077,0.9875
2014-10-14,,,0.3282,0.0063,0.8997
2014-10-15,,,0.3169,0.006,0.8693
2014-10-16,,,0.3046,0.0057,0.816
2014-10-17,,,0.303,0.0054,0.8092
2014-10-18,,,0.3057,0.0056,0.8099
2014-10-19,,,0.3018,0.0056,0.7896
2014-10-20,,,0.3078,0.0055,0.7844
2014-10-21,,,0.3099,0.0062,0.8035
2014-10-22,,,0.3194,0.0068,0.9145
2014-10-23,,,0.309,0.0051,0.8133
2014-10-24,,,0.2998,0.0046,0.7301
2014-10-25,,,0.3021,0.0047,0.6941
2014-10-26,,,0.2951,0.0049,0.6711
2014-10-27,,,0.3065,0.0052,0.6922
2014-10-28,,,0.3079,0.0041,0.6654
2014-10-29,,,0.3021,0.0038,0.6365
2014-10-30,,,0.2918,0.0036,0.6067
2014-10-31,,,0.2911,0.0038,0.5807
2014-11-01,,,0.2801,0.0038,0.5746
2014-11-02,,,0.3029,0.0044,0.5807
2014-11-03,,,0.3165,0.004,0.6418
2014-11-04,,,0.3201,0.0053,0.5195
2014-11-05,,,0.3028,0.0043,0.5379
2014-11-06,,,0.3119,0.0036,0.599
2014-11-07,,,0.3044,0.0037,0.5685
2014-11-08,,,0.3043,0.0036,0.544
2014-11-09,,,0.3148,0.0042,0.5012
2014-11-10,,,0.2928,0.0032,0.489
2014-11-11,,,0.2956,0.0036,0.4217
2014-11-12,,,0.3022,0.0031,0.5501
2014-11-13,,,0.3147,0.0038,0.4401
2014-11-14,,,0.3208,0.0037,0.5623
2014-11-15,,,0.3216,0.004,0.5807
2014-11-16,,,0.3253,0.0043,0.4645
2014-11-17,,,0.3494,0.0052,0.3667
2014-11-18,,,0.3286,0.0044,0.4156
2014-11-19,,,0.3199,0.004,0.5012
2014-11-20,,,0.3103,0.0037,0.5012
2014-11-21,,,0.2986,0.0033,0.4645
2014-11-22,,,0.3196,0.0041,0.434
2014-11-23,,,0.3146,0.0036,0.4951
2014-11-24,,,0.3235,0.0042,0.4217
2014-11-25,,,0.3334,0.0046,0.3912
2014-11-26,,,0.2906,0.0029,0.4278
2014-11-27,,,0.3012,0.0035,0.4095
2014-11-28,,,0.2962,0.0032,0.4156
2014-11-29,,,0.2842,0.0027,0.385
2014-11-30,,,0.2693,0.0025,0.3912
2014-12-01,,,0.2853,0.003,0.4278
2014-12-02,,,0.2966,0.0033,0.3361
2014-12-03,,,0.2846,0.003,0.3973
2014-12-04,,,0.2785,0.0028,0.4156
2014-12-05,,,0.2678,0.0026,0.4034
2014-12-06,,,0.2885,0.0032,0.3484
2014-12-07,,,0.2828,0.0031,0.385
2014-12-08,,,0.2844,0.0031,0.2872
2014-12-09,,,0.2828,0.003,0.2261
2014-12-10,,,0.2757,0.0028,0.2322
2014-12-11,,,0.2689,0.0026,0.275
2014-12-12,,,0.2714,0.0027,0.2995
2014-12-13,,,0.2848,0.003,0.3484
2014-12-14,,,0.2745,0.0027,0.3545
2014-12-15,,,0.2794,0.0033,0.2811
2014-12-16,,,0.2915,0.004,0.1772
2014-12-17,,,0.2802,0.0035,0.3117
2014-12-18,,,0.2772,0.0034,0.3117
2014-12-19,,,0.29,0.0039,0.1833
2014-12-20,,,0.29,0.004,0.2139
2014-12-21,,,0.2806,0.0034,0.2933
2014-12-22,,,0.2891,0.0033,0.2505
2014-12-23,,,0.3149,0.0043,0.1466
2014-12-24,,,0.3172,0.0046,0.1405
2014-12-25,,,0.2719,0.0029,0.3117
