date,sub_basin,deltao18,deltad,d_excess
2014-06-27,Copper,-17.694739,-128.99423,12.564
2014-07-03,Copper,-17.603363,-128.241689,12.585
2014-07-16,Copper,-17.166913,-125.418127,11.917
2014-07-23,Copper,-17.277223,-124.376041,13.842
2014-07-30,Copper,-16.389334,-119.290531,11.824
2014-08-05,Copper,-16.579516,-120.649183,11.987
2014-08-13,Copper,-16.648337,-121.298173,11.889
2014-08-21,Copper,-16.469747,-119.617581,12.14
2014-08-30,Copper,-15.906571,-115.476343,11.776
2014-09-07,Copper,-16.126297,-116.791864,12.219
2014-09-14,Copper,-16.089438,-115.639096,13.076
2014-09-23,Copper,-15.923745,-112.349786,15.04
2014-10-01,Copper,-15.862654,-114.069345,12.832
2014-10-07,Copper,-15.922578,-115.122142,12.258
2014-10-14,Copper,-16.279245,-117.070392,13.164
2014-10-23,Copper,-16.194385,-117.335739,12.219
2014-10-31,Copper,-16.256608,-118.1658,11.887
2014-11-08,Copper,-16.24889,-117.330723,12.66
2014-11-18,Copper,-16.427521,-120.27195,11.148
2014-12-07,Copper,-16.59611,-121.067831,11.701
2015-02-07,Copper,-16.696118,-121.876462,11.692
2015-02-19,Copper,-16.746824,-122.941857,11.033
2015-03-16,Copper,-16.900177,-122.606324,12.595
2015-04-09,Copper,-16.882407,-122.729672,12.33
2015-05-02,Copper,-16.88754,-123.826507,11.274
2015-05-11,Copper,-16.774451,-122.650443,11.545
2015-05-24,Copper,-16.687141,-122.476558,11.021
2015-06-02,Copper,-16.973617,-121.889543,13.899
2015-06-11,Copper,-16.957332,-121.522879,14.136
2015-06-18,Copper,-16.758386,-119.760542,14.307
2015-06-25,Copper,-16.867817,-121.136404,13.806
2015-07-02,Copper,-16.893694,-121.358739,13.791
2015-07-09,Copper,-16.280181,-116.164635,14.077
2015-07-15,Copper,-16.191462,-116.341821,13.19
2015-07-25,Copper,-16.019602,-114.5763,13.581
2015-08-02,Copper,-16.390289,-117.592847,13.529
2015-08-09,Copper,-15.988165,-114.729583,13.176
2015-08-16,Copper,-16.121842,-115.433846,13.541
2015-08-23,Copper,-15.725137,-116.573249,9.228
2015-08-30,Copper,-15.774415,-113.118317,13.077
2015-09-07,Copper,-14.505174,-106.569355,9.472
2015-09-13,Copper,-15.688667,-112.765501,12.744
2015-09-23,Copper,-15.728611,-113.605855,12.223
2015-09-28,Copper,-15.8794345,-114.298108,12.737
2015-10-04,Copper,-16.030258,-114.990361,13.252
2015-10-13,Copper,-16.059097,-115.654175,12.819
2015-10-19,Copper,-16.034229,-115.163067,13.111
2015-10-25,Copper,-15.628546,-116.119667,8.909
2015-11-02,Copper,-16.107943,-116.148241,12.715
2015-11-09,Copper,-15.902601,-116.721193,10.5
2015-11-15,Copper,-16.231173,-117.205378,12.644
2015-11-23,Copper,-16.265509,-117.527684,12.596
2015-12-01,Copper,-15.872266,-118.076212,8.902
